operator,user
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/b8h3q49vfc8691zzi9jwygb4/image.png  https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/9znt3v13fdyhlhd7ahl7nr1d6ma7fd/audio.ogg  ,کاش شماره تماس داشتید تا تلفنی عرض کنم  باجه ی پست خیلی ازم پول گرفت من کلی ضرر کردم  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/m4en027nqnkv3n9hboverev1ajewng/audio.ogg  https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/98mk8actqpf1dnpihost1iiv3cgjmy/audio.ogg  https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/3kitjs0ygygqhcu5ok1tf4g0lonw5p/audio.ogg  ,"https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/hkab1ov9lzu4d837pd0owyregc8whs/audio.ogg  بله جزییاتش رو دیدم ولی هیچوقت پست  برای من غیر استاندارد حدود ۴ هزار نمیزد
جعبه ی کوچیک و خوبی هم بود  اصلا بنده در مرسوله هام هروقت گزینه غیر استاندارد نداشت  چرا دفعه ی اول که ارسالی  یک جعبه داشتم هزینه جمع آوری  ازم نگرفت ولی ایندفعه  هم که یک جعبه داشتم ۱۵ تومن از حسابم کم کرد.  "
دوباره امتحان کنید  ,ببخشید صوتهاتون باز نمیشه  
سلام بفرمایید  مشکل رو میفرمایید  ,بله    سلام  لطفا این کد رو ابطال بفرمایید  539601387247  
یعنی به مشتری تحویل نداده  ,عدم تحویل توسط پست  مشکل در بسته بندی  
"بسیار خوب
بررسی میشه  ",خیر  امروز جهت ارسال باید به پست تحویل می دادم که مشکل داشت نتونستم تحویل بدم  
میخواید مجدد ثبت کنید ؟  میتونید همون برگه ای که چاپ کردید رو روی بسته بندی جدید بزنید  ,ممنون  
بسیار خوب  به نام حمید برازنده لغو شد 539601387247  ,می فرمایند از تاریخ ثبت نباید بیشتر 24 ساعت بگذرد  تحویل نمی گیرند  واحد سفارشات اینترنتی پست  
��  ,ممنون  
بفرمایید  ,یه سوال  
"این قسمت توسط سرویس دهنده ها باید انجام بشه و از طرف اونها یه مقدار طول میکشه
اگر ادامه دار بود بفرمایید بررسی کنیم.  ",چرا وضعیت ها از آمادست به ارسال شده تغییر نمی کنه  
"سلام وقت بخیر  این تیک ها رو کدوم قسمت ازتون خواسته شده که بزنید؟
روش ارسالتون گیت وی هست؟  اگر ممکنه یه عکس میفرستید.  ","  سلام  آقا این سه آیتم از ممنوعات پستی هست  خارج از اندازه است؟

شکستنی است؟

مایع است؟  با تیک زدنش چه اتفاقی قرار هست بیقته  ممنون میشم راهنمایی بفرمایید  "
"سلام وقت بخیر  اینها ممنوعات پستی نیست، اگر مرسوله تون این شرایط رو داره باید تیکش زده بشه ممکنه با یه هزینه اضافه حمل بشه. اگر اعلام نشه و اداره پست متوجه بشن ارسال نمی کنند مخصوصا گزینه خارج از اندازه که مشخص هست از روی ظاهر بسته  ",  https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/8jibk4g55pw4klznokd06p3r/image.png  
سلام وقت بخیر  چندتا سفارش هست؟  ,  سلام لطفا کلیه ارسالی های تاریخ 10/10 رو کنسل بفرمایید  ماشین پست بوشهر رو گرفتن هیچ بسته رو ارسال نمی کنن  
"سلام. وقت بخیر
لطفا شناسه های سفارش رو ارسال کنید تا اشتباها سفارش دیگه ای لغو نشه.  ",11 تا  متاسفانه ماشین پست روگرفتن بسته های تاریخ 6 ما هم فعلا رفته رو هوا کسی هم پاسخگو نیست  نمی دونیم به کجا باید مراجعه کنیم  سلام لطفا کلیه ارسالی های تاریخ 10/10 رو کنسل بفرمایید  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/ay0wcrg4nhnt5ysms4zd2is3rtftr2/audio.ogg  ,سلام  من در باسلام غرفه دارم اما توی تایید شماره تلفن در برنامه آمادست به مشکل خوردم  کد تاییده که میاد و وارد میکنم میگه کد اشتباه است  
کدی که براتون اومد رو بهم میگید  ,9203387680
من الان تست کردم تونستم وارد بشم  ,54673
یه بار صفحه رو رفرش میکنید و دوباره تست کنید  ,https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/7q4kap7ya7zwd1ymzy8pd0w6/screenshot_2022-11-01-12-46-42-548_com.android.chrome.jpg  
سلام وقت بخیر  خودتون انتخابش کنید و به مرحله آماده سازی منتقل کنید  وقتی سفارش آماده ارسال شد از در حال آماده سازی به آماده ارسال منتقل کنید  ,  سلام  من یک سفارش ثبت کردم  میخواستم بدونم کی میره به قسمت آماده سازی ؟  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/m9rdrevni9u4878jdbs65iniu8no5h/audio.ogg  ,  سلام دوست عزیز وقت بخیر  من  تو آمادست ثبت نام کردم .  تو باسلام غرفه دارم .  چطور میتونم کنار محصولاتمان گزینه ی آمادست رو بزارم  شما اپ  اپلیکیشن دارین من تو گوشیم نصب کنم  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/ingh3wtrbtwa33o4a61o6kp6iuumtu/audio.ogg  https://www.aparat.com/v/ridfv  ,"ممنون از لطف شما .  ولی چطور غرفه رو به آمادست متصل کنم . من هر چقدر  گشتم چیزی نبو د ، حتی داخل تنظیمات غرفه  "
سلام وقت بخیر  ,سلام  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/2s4j82hpo10h53cd9a63gbw4ylh9vg/audio.ogg  ,ما یک فروشگاه در باسلام داریم میخواستم بدونم هزینه های پلتفرم شما چطوریه  مثلا هزینه برای ارسال یک بسته 200 گرمی از مشهد به تهران در نهایت چقدر در میاد  من تو سایت دیدم زده بود حدود 20 تومان آیا هزینه نهایی همین هست ؟  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/ge5jn762yzv1cs1shd6c0mdidm5o2r/audio.ogg  ,جاهای خاصی باید تحویل داده بشه و کجاست و اینکه هزینه جمع آوری چطوریه؟  مکان های تحویل بسته ها کجاست در مشهد؟  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/2mtcso8i4jlbvofkqsvst4yaqkw4a2/audio.ogg  ,سلام وقت بخیر  کالاهایی که من ارسال میکنم اکثرا شکستنی هستند آیا شرایطی برای ارسال ایمن وجود دارد؟  
سلام  کد ورود؟  ,  درود  ماجرا چیه هرچی شماره میزنی کد تایید نمیفرسته ب گوشی!!  
احتمالا شماره تون رو اشتباه دارید میزنید چون من این شماره رو چک کردم درخواست پیامک نیومده  ,  بله برای ثبت نام شماره همراه میزنی بعد باید ی کد ب شماره تلفن ارسال بشه به هیچ وجه نمیاد ..  
"من الان چک کردم در پنل ، کد برای موبایل شما ارسال شده ، اخرین بار 1 ساعت پیش بوده  بی زحمت در قسمت اسپم گوشی چک کنید  شاید اونجا رفته  ",https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/3jglu3ewywg7svze7o6huew8/screenshot_۲۰۲۲۱۱۰۲-۱۱۴۸۰۲_chrome.jpg  https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/6zhdr7sfwnoa99fde2u270u2/screenshot_۲۰۲۲۱۱۰۲-۱۱۴۸۰۹_chrome.jpg  درسته؟  
بله دارای نماد اعتماد هستش  ,درسته .. آمادست معتبر هست دیگ؟  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/nl1gwm4j32b2shwwcpoww3kohd36z1/audio.ogg  ,    سلام میخواستم زنگ بزنم  یه شماره واسه تماس لطف میکنید  
سلام  شما میتونید تمام فروشگاه های اینترنتی خودتون رو به امادست متصل کنید و همه ی سفارشاتتون رو یکجا مدیریت کنید  یکی از کارهایی که می تونید اجام بدید ارسال این سفارشات با سرویس های لجستیکی مختلف هستش  پست  تیپاکس  دفاتر پیشخوان  پیک های درون شهری  یکی دیگه از این کارها اتصال فروشگاه هاتون به سبستم انبار داری ماست  انباردار سفارشات شما رو خودکار میبینه و پردازش میکنه و بعد ارسال میکنه  سرویس جمع اوری هم هست  شما کدوم شهر تشریف دارید  ,  سلام  یه توضیح کوتاه بدید این برنامه ی  آمادست چیه اصلا؟؟  
سلام  روزتون بخیر  شما کدوم شهر تشریف دارید؟  شما میتونید تمام فروشگاه های اینترنتی خودتون رو به امادست متصل کنید و همه ی سفارشاتتون رو یکجا مدیریت کنید  یکی از کارهایی که می تونید اجام بدید ارسال این سفارشات با سرویس های لجستیکی مختلف هستش  پست و تیپاکس و دفاتر پیشخوان و پیک درون شهری  یکی دیگه از این کارها اتصال فروشگاه هاتون به سبستم انبار داری ماست  انباردار سفارشات شما رو خودکار میبینه و پردازش میکنه و بعد ارسال میکنه  و سرویس جمع اوری که در بعضی شهر ها فعاله  ,  سلام وقتتون بخیر  ببخشید بسته های پستو شما از جلو خونمون تحویل میگیرید یا من باید براتون بفرستم  اخه اداره پستش به ما دوره تا اونجا ۳۰تومن فقط پول کرایه رفتو برگشتم میشه ۳۰ تومنم پول پست میدم برای جنسای ۳۰یا۵۰تومنیم اصلا نمیصرفه 😔  ممنون میشم درباره امادست یه توضیحی بهم بدید  🙏  
روزی چه تعداد سفارش دارید؟  ,ممنون از پاسخگوییتونمن تهران پرند هستم  
انشالله بهتر از قبل بشه به زودی  https://s2.goftino.com/dl/2022/63593c28b9eab411db266f9a/4lbn28imv7plk1buy7avdfx7wk/record_goftino2022_11_02t18_11_26.ogg  ,  من قبلا تو اینستا سفارش زیاد داشتم ولی متاسفانه دیگه قطع شد😔  ولی اینجا تازه شروع کردم  باید تعداد سفارشهام زیاد بشه برای جمع اوری  
��  ,سلام ممنون از پاشخگوییتون🙏  پاسخگوییتون🙏  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/ymwiwve9tttasc2w8scorvb0h6mvg3/audio.ogg  ,  سلام خوبین؟؟  میشه در مورد امدست توضیح بدید  الان بنده که در استان خوزستان ماهشهر هستم چطوری میتونم بسته رو ارسال کنم؟؟  هزینه های پست اینجا خیلی زیاده    
سلام و وقت بخیر  چند لحظه منتظر باشید من بررسی کنم  کدوم سفارشتون رو میخواید ثبت کنید؟  ,سلام  وقتی میخوام سرویس گیت وی رو انتخاب کنم میگه اطلاعات فروشگاه در گیت وی یافت نشد  
سفارشتون ثبت شد و در وضعیت درحال اماده سازی هست  شما باید اون رو ببرید تو وضعیت اماده ارسال و لیبل اون رو چاپ کنید و بچسبونید به بسته  و به اداره پست منطقه تحویل بدید  ماهشهر تشریف دارید؟  ,12657938
اداره پست خیابون طالقانی باید تحویل بدید بسته های گیت وی رو  ,بله  
"به همون خیابان طالقانی اداره پست تحویل دادید؟  متاسفانه در شهر ماشهر،‌سرویس دهنده ای نداریم که این خدمت رو انجام بده  اگه دفتر خدماتی میشناسید که میتونه و تمایل داره که به عنوان سرویس دهنده در آمادست کار کنه،‌ خوش حال میشیم که معرفی کنید  در شهر قم و تهران و اصفهان و مشهد سرویس های این چنینی به لطف دفاتر پیشخوان فعال هستند،  ",سپاسگزارم. فرستادم. ای کاش میشد سرویس ارسال به انبار دیجیکالا هم برای ما فراهم میشد  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/y0p2agzfmsc1qkmnjr11hwrhr8rwi7/audio.ogg  ,سلام  میشه درباره آمدست  بیشتر توضیح بدید  
"در قسمت آدرس ها تشریف ببرید ، اونجا میتونید تغییر بدید کد پستی خودتون رو  ",من کد پستی رو اشتباه وارد کردم  برای ویرایش کد پستی راهنمایی کنید  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/btneqr630omqhi7ggpillynklrpooi/audio.ogg  ,  س  خودتون میان میبرید . لیبل خودتون میزنید .  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/dnjufugz2bn4ayvq8rroal52bs5d4w/audio.ogg  https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/fh0qf1ve37wckv4s5sleunzdw2bwqj/audio.ogg  ,سبزوار  خودمون ببریم دفتر تیپاکس نمیگن بیا پیش خودمون اینکار میکنیم . چه مزیتی شما دارید . قیمت ها نهایت ۲ت فرق میکرد  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/1ty1ez4q613dvc090ow621h9u6fpg9/audio.ogg  https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/jecbrzv993sawz780mmm6013k22yuw/audio.ogg  ,نگفتید جمع آوری تیپاکس چطوره  قضیه لیبل چیه .‌همینکه تایپی باشه اینا باعث عدم استقبال فروشنده میشه  اداره پست نمیخام . فقط تیپاکس بگید  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/g22he7hiwv55s9u0h1m45e1rtylp74/audio.ogg  ,  والا ما که نفهمیدیم چی شد این لیبل و تایپ .  خودشون لیبل میزنن؟ گیرنده فرستنده چاپی باید باشه    10ت ک گفتید اصن اینقدر تفاوت ندارع سبزوار مشهد دارم می‌فرستم 40800 ت شما میگید 38100 کجاش 10ت فرقه  واقعیت به قر و فر نمی ارزه 40800 میدم ده درصد کیف پولم میاد ولی اینجوری لیبل و پرینت دردسر بیش. نیس  فروشم خارج باسلام هست . باسلام مرده متحرکی بیش نیس ک گفته بودید اطلاعات خریدار برای شما هم میاد گفتم اصن باسلام دورش خط باید کشید حیف پول تبلیغات بدیم باسلام    سلام  در مورد گیت وی قضیه لیبل چیه من نمی‌فهمم منظورتون رو    
بله حتما ممنونم از اینکه مارو در  هرچه بهتر کردن سایت آمادست یاری میکنید من به تیم فنی انتقال میدم  ,ممنون. اسمش عوض کنید . من به شخصه فک میکردم مثه دیجی کالا لیبل باید بزنی  
سلام وقت شما بخیر باشه  ,سلام  خسته نباشید  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/vub0n5wtnkkmcb58fhhfcy9ayjlr91/audio.ogg  ,"ببخشید امکان پرداخت هزینه سفارش بصورت درب، کماکان منزل امکان نداره  پرداخت درب منزل  "
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/vkjwy0w0y0oef09abkwvh1iemm78dw/audio.ogg  ,"من کماکان بی صبرانه منتظرم  لطفا هرچه سریعتر اضافه کنید  باسلام می‌تونه تا مدت یک یا دو هفته از پول ما فروشگاه دار ها استفاده کنه  من که موافقم حتی پولم یکی، دوهفته تو حساب باسلام باشه  تا از اعتبارات بانکی و ... برای پیشرفت برنامه خوبتون استفاده کنید  و همچنین موافقم برای پرداخت درب منزل هزینه ارسال رو تا یه مقدار معقولی افزایش بدید  "
"سلام وقت شما بخیر باشه 
در سامانه برای شما دعوت کننده ای ثبت نشده 
شماره ی دوستتون که شما رو دعوت کرده برامون میفرستید که بررسی کنیم ؟  ",سلام وقتتون بخیر ببخشید من از طریق لینک دعوت در سایت آمادست ثبت نام کرده بودم اما اون هدیه اعتبار هنوز نداده چرا؟  
"سلام وقت شما بخیر.
آمادست به شما کمک می‌کنه سفارشات همه فروشگاه های خودتون رو یکجا و راحت و به صرفه ارسال کنید. 
✅ آموزش های سایت 👇
https://amadast.com/learn
⚙️ آشنایی با سرویس ها👇
https://amadast.com/services
🧮 ماشین حساب ارسال 👇
https://amadast.com/#calculator  ",سلام من بلد نیستم در آمادست چکار باید بکنم  بی زحمت توضیح دهید  ممنون تشکر  
"سلام وقت شما بخیر باشه ، فراموشی رمز عبور را بزنید و از اون طریق وارد بشید  ",سلام وقت بخیر  چطور آمادست را فعال کنم  قبلا ثبت نام کردم اما  فرم ها را تکمیل نکردم  الان ارور ثبت کد ملی میده  که قبلا ثبت شده  
کد به شمارتون ارسال میشه ؟  ,بازهم مشکل رفع نشد  
"وقتی کد را وارد میکنید چه اروری میگیرید ؟ 
ممکن هست اسکرین شات بفرستید  ",بله  
"پایین صفحه سمت راست ، گزینه ی خروج داره درسته ؟  ",https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/o4s2vfgog1uhrd36tj2ckeol/۲۰۲۲۱۱۰۲_۱۵۵۱۴۰.jpg  وارد برنامه میشم  
"به سمت پایین صفحه بروید ، پایین سمت راست یک گزینه ی خروج باید باشه ، اون رو بزنید و بعد فراموشی رمز عبور را بزنید  ",زمانی که اطلاعات و کد ملی را وارد میکنم این ارور میده  نه ندیدم  
"پس اجازه بدید به واحد فنی ارجاع بدم اونها بررسی کنند ، بعد خدمتتون عرض میکنم نتیجه رو  ",همین کار رو انجام دادم و از اول وارد برنامه شدم بجای رمز کد درخواست دادم  اما بنظرم بدلیل اینکه خیلی وقت پیش ثبتنام انجام دادم این ارور میده چطور میتونم آمادست فعال کنم؟  
"سلام، حسینی هستم از واحد فنی،
گویا قبلا با کد ملی شما ثبت نام انجام شده، میتونم کد ملی تون رو برای انجام کارهای ثبت نامتون داشته باشم؟  بنظر میرسه که شما با یک شماره دیگه ثبت نام رو انجام دادید، با اون شماره و استفاده از کد یکبارمصرف میتونید وارد پنل بشید  ",ممنونم  
کدملی و شماره موبایلی که ثبت نام کردید رو بفرستید  ,آهان ممنونم  با شماره دیگه ایی که  از ابتدا ثبتنام کرده بودم وارد شدم کدیکبار مصرف  درخواست و..‌ باز هم نتوانستم ثبت نام تکمیل کنم!!  
"اجازه بدید چک می کنم  چرا؟  شماره قبلی که با اون ثبت نام کردید، رو بفرمایید  اسمی که دفعه قبل زدید رو حداقل بگید که بتونم یوزر قبلی تون رو پیدا کنم  ",۰۹۱۷۳۳۷۱۰۱۶  کد ملی نمیتونم ارسال کنم  
سلام وقت بخیر  دقیقتر میفرمایید مشکلتون رو  ,سلام  وقت بخیر  برای ثبت آمادست به مشکل برخوردم  
"سلام وقت شما بخیر باشه 
خیر آمادست همه ی بسته هارو قبول میکنه ، از هر جایی که باشه  ",  سلام وقت بخیر امادسن تمام پست هارو پشتیبانی می‌کنه یا فقط بسته های ک از طریق باسلام ثبت شده رو قبول میکنه؟  
قیمت ها همین هست  ,آها حله پس تشکر  و این ک ببخشید قیمتی ک همینجا نوشته شده هستش برای شهر ها یا سود بازم دریافت میشه توی محل تحویل کالا  منظور قیمتا خیلی مناسبه نسبت به دفاتر پیشخوان  
"سلام وقت شما بخیر باشه  ببینید اون هزینه ی 450 تومانی ماهیانه برای جمع آوری هستش ، یعنی اگر بخواین جمع آوری از درب منزلتون براتون انجام بشه توسط پست ، این هزینه رو باید پرداخت کنید  اگر نه خودتون میخواین تحویل بدید ، نیاز به پرداخت هزینه نیستش  ",تشکر مرسی  والله من فکر میکردم امادست فرق داره با اون یکی پیشخوان و پست ها اما اون یکی ها بهتره به نظرم رفتم ثبت نام پیشخوان امادست گفت 450 ماهانه 750سالیانه چ فرقی کرد از پست پیشتاز هم گرون تر درمیاد به نظرم هم محصول رو باید رایگان ارسال کنم هم هزینه پستی بدم هم ماهانه 450  این منصفانه نیست  
"باید به دفاتری که پیشخوان پستی رو قبول میکنند تحویل بدید 
بفرمایید کدوم شهر هستید تا راهنماییتون کنم  ",ببخشید از کجا میتونیم تحویل بدیم به کجا تحویل بدیم خودمون منظور امادست یه جای خاصی داره دکه غرفه  یا همون باید به پیشخوان ها تحویل بدیم ؟  
سلام وقت شما بخیر باشه  متوجه منظورتون نشدم ؟  ,  سلام  کسی پاسخگو هست اینجا  سایز کارتن رو یک شماره پایینتر میشه ثبت کرد؟  مثلاً سایز ۵ رو ۴ ثبت کنیم  کسی پیام رو خوند تماس بگیره اگه امکانش بود09035786633  
سلام وقت بخیر  بله شدنی هست موردی نداره  ,سلام  یه بسته ۱۰ کیلویی برای مقصد کیش داشتم .بهم گفتن بیشتر از ۵۰۰ گرم به جزایر آبی ایران نمیشه بفرستم نه با پست نه چاپار  .راسته؟؟  می‌خوام با پست بفرستم از طریق امادست.شدنیه؟؟ اگه میشه که من هزینه ثبت نام رو بدم    سلام  پاسخ ندادید هنوز    
"سلام وقت بخیر  بله بسته رو آماده کنید و برگه چاپ سفارش که پرینت گرفتید رو روی بسته بچسبونید و تحویل بدید
بارکد مستقیم از سایت تیپاکس گرفته میشه و همه چیز در سامانه مشخص هست  ",  سلام برای ارسال با تیپاکس باید آماده کنم بسته رو ببرم نمایندگی؟  چطوری متوجه شوند که هزینه شو پرداخت کردم  
سلام. وقت بخیر  بفرمایید  ,سلام  
سلام وقت شما بخیر باشه  شماره سفارش رو لطف میفرمایید  ,سلام  یکی از سفارشات وزنش کم خورده باید حذف بشه و اصلاح بشه ولی سیستم نمیزاره حذف کنم.  
سلام وقت بخیر  چند لحظه لطفا  لغو شد  ,  574301373266  سلام  لطفا این سفارش رو لغو کنید ارسال نشده  تشکر  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/znvwbbvdga7eg7bhm6gne1iseu7ev8/audio.ogg  ,  سلام وقت شما بخیر  ی شماره تماس به ما بدین جهت سفارش کارتن و لیست قیمت رو هم بفرمایید 🙏  منظورم  منتظرم  
پیام حذف شده است  سلام  ,س  
سلام وقت بخیر  ,سلام  
سلام  کدوم شهر تشریف دارید و روزانه چه تعداد سفارش دارید؟  ,"سلام    ببخشید من مغازه دارم، مخوام بدونم شما سفارش مشتری رو از در مغازه میایید میبرید، یا خودمون باید جایی بیاریم؟  چقدر زمان میکشه تا بیان بار رو از در مغازه ببرن؟  "
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/wtrh9j9w5oarae9zucfkhhbmpsegbo/audio.ogg  ,  سلام  وقت بخیر  در حال حاضر همکاری با پست فعال هستش یا نه هنوز؟  
سلام وقتتون بخیر  چشم اطلاع میدم خدمتتون  خیر متاسفانه امکان پس کرایه در حال حاضر وجود نداره  ,  سلام  وقت بخیر  امکان پرداخت هزینه پست به صورت پس کرایه هم هست؟  
سلام  برای سرویس گیت وی و تیپاکس بله  کدوم شهر تشریف دارید؟  ,    سلام باید پرینتر داشته باشیم؟  
گیت وی همون پست پیشتاز هستش  فقط تیک اضافه ای نداره و هزینش کف هزینه ی پستی هستش  ,رشت  چه فرقی با پست پیشتاز داره  
"برای سرویس های گیت وی و تیپاکس، شما میبایستی خودتان به سرویس دهنده تحویل دهید  بسته های گیت وی به اداره پست های منتخب هرشهر  تیپاکس به دفتر تیپاکس  ",  سلام خودتون بسته ها رو تحویل میگیرین؟  
سلام وقت بخیر  ثبت سفارش انجام دادید؟  ,آمادست کجا تحویل بدیم؟    بسته آمادست رو کجا تحویل بدیم؟  
"بستگی داره به نوع سرویسی که انتخاب میکنید،  بعضی از سرویس ها مثل دفاتر پیشخوان قابلیت جمع آوری دارند،
بعضی ها مثل تیپاکس و پیشخوان پستی (گیت وی) باید خودتون به دفاتر منتخب تحویل بدید  میتونم بپرسم کدوم شهر هستید که بهتر راهنماییتون کنم؟  ",  نه  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/er0ecwyn41070m5kq6ilgunckt6gsa/audio.ogg  ,رشت  
میتونید بیرون پرینت بگیرید  ,  من پرینتر  ندارم  
حدود ۲۰ هزار تومان  ,  من فروش کفش دارم  هر بسته حدود ۶۰۰ گرم هستش  توی امور مشترکین  واسم حدود ۲۴ هزارتومن  هزینه پست میشه  الان توی آمادست هزینه چقد میشه؟  
"سلام و وقت بخیر  در رشت سرویس دهنده دفتر پیشخوان نداریم متاسفانه  شما میتونید از سرویس پیشخوان پستی (گیت وی) استفاده کنید،  https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/4e7942wv58m751z5nf4l2qc8/image.png  مزایای ثبت نام در طرح پیشخوان پستی  برای استفاده از این طرح نیاز هست که بسته بندی و چاپ لیبل رو خودتون انجام بدید،  طرح به صرفه ای هست  ",  سلام آدرس و شماره تلگرام یا واتساپ   شعبه رشت رو میدین  
سلام وقت شما بخیر باشه  بله میتونید استفاده کنید  یک هزینه ی 49 تومانی برای ثبت نام داره  ملزومات هم فقط باید پرینتر برای چاپ لیبل داشته باشید  و لیبل رو چاپ کرده و روی بسته بچسبانید  ,سلام  برای شهرستان اران وبیدگل پست پشتیبانی میکنه  اگه بخواهید پیشخوان پستی باشیم چه هزینه ای داره و چه ملزوماتی باید داشته باشیم  ؟؟  
نه پرینتر معمولی کفایت میکنه  https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/no90mfc4uw450849bjj73jpif3bkre/audio.ogg  ,  حتما باید لیبل پرینتر داشته باشیم  با پرینتر معمولی نمیشه  اگه بخواهیم خودمون تحویل پست بدیم چطور میشه  
"سلام وقت شما بخیر باشه  من درست متوجه نشدم منظورتون رو 
اگر ممکنه مجدد توضیح بدید یا ویس بدید ممنونم  ",سلام وقت بخیر  من از برنامه آمادست دوتا بسته دارم‌ که تو برنامه اوکی شده کد رهگیری برای هر بسته فرستادن وچون من دوتا بسته داشتم کد رهگیری  اشتباه فرستادم یعنی کد پستی شماره یک برای شماره نفرستادم آیا این مشکلی پیش میاره میتونم خودم به مشتری شماره کد رهگیری بدم آیا از نظر پستی مشکلی پیش میاد  واینکه من در برنامه سفارشم تکمیل کردم چگونه باید با نماینده تماس بگیرم برای تحول بسته ها به پست  
سلام. وقت بخیر  تهران هستین؟ اکوپیک؟  ,سلام وقت بخیر  من یک بسته پستی دارم میخواستم ببینم پیک چه ساعتی تحویل میگیره  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/4bggv2kv34hr7u29yt9p2ena/image.png  طبق همین ساعت کاری ک اعلام کردند جمع آوری رو انجام میدن  ,خیر اهواز هستم همیشه پیک ساعت ۹تا ۹ونیم بسته تحویل می گرفت امروز تا حالا خبری نیست من هم کار ی داشتم عجله دارم  
با خودشون تماس گرفتین برای پیگیری؟  ,سلام ساعت کاری تمام شد ولی نیامدن بسته تحویل بگیرن  
سلام وقت بخیر  کد ملیتون رو میفرمایید  ,سلام وقت بخیر من قبلا از آمادست استفاده میکردم و بسته های پستی با آمادست پست میکنم ولی چند وقته که نمیتوانم صفحه اطلاعات که میاد مشخصات مینویسم ولی پیام میده که با این کد ملی قبلا اطلاعات ثپت شده لطفا راهنمایی کنید چه کار باید بکنم تا به آمادست وصل بشم و بسته هام پست کنم  
سلام وقت بخیر  شما قبلا با شماره دیگه ای در آمادست ثبت نام کردید و این کد ملی رو ثبت کردید  شماره تون رو به خاطر ندارید؟  ,۱۸۱۷۴۷۷۲۰۱  سلام وقت بخیر  
اجازه بدید بررسی میکنم  ,فکر کنم این شماره باشه ۰۹۳۹۴۷۲۴۰۲۵  
"خیر 
برای این شماره کد ملی ثبت نشده  ",مرسی  
لطفا تصویر کارت ملی رو در کنار صورتتون برای ما ارسال کنید تا شماره ثبت شده برای این کد ملی رو خدمتتون ارسال کنیم  بله میتونید ولی شماره ملی تکراری نمیتونید ثبت کنید  ,خوب نمیشه با شماره اولیه که فرستادم وارد بشم  
بله  ,یعنی باید کد ملی دیگه ای باشه  
